"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.442374998E0,-3.187500238E-1,1.518750095E1,-3.530625153E1,3.843557185E1
2.462378719E0,-3.000000119E-1,1.535625076E1,-3.562500000E1,3.879491027E1
2.482377597E0,1.687500030E-1,1.535625076E1,-3.573750305E1,3.889745542E1
2.502372585E0,0.000000000E0,1.548750019E1,-3.573750305E1,3.894909224E1
2.522375809E0,-2.250000089E-1,1.520625019E1,-3.583125305E1,3.892504804E1
2.542373957E0,-3.187500238E-1,1.518750095E1,-3.560625076E1,3.871132754E1
2.562378340E0,-1.125000045E-1,1.539375019E1,-3.626250076E1,3.939478598E1
2.582378472E0,-3.000000119E-1,1.535625076E1,-3.562500000E1,3.879491027E1
2.602374337E0,-3.750000000E-1,1.541250038E1,-3.519375229E1,3.842246730E1
2.622378560E0,-1.312500089E-1,1.503750038E1,-3.510000229E1,3.818578014E1
2.642378026E0,-3.750000000E-1,1.541250038E1,-3.562500000E1,3.881786210E1
2.662374237E0,-2.812500000E-1,1.543125057E1,-3.541875076E1,3.863535300E1
2.682378455E0,-3.187500238E-1,1.518750095E1,-3.551250076E1,3.862511485E1
2.702377927E0,-3.000000119E-1,1.528125095E1,-3.583125305E1,3.895491402E1
2.722373367E0,-2.812500000E-1,1.543125057E1,-3.519375229E1,3.842919198E1
2.742377092E0,-2.062500119E-1,1.528125095E1,-3.551250076E1,3.866130986E1
2.762375995E0,-4.125000238E-1,1.516875076E1,-3.560625076E1,3.870486080E1
2.782370804E0,-3.750000000E-1,1.541250038E1,-3.540000153E1,3.861147370E1
2.802374113E0,-6.187500358E-1,1.505625057E1,-3.517500305E1,3.826688350E1
2.822372750E0,-2.062500119E-1,1.535625076E1,-3.541875076E1,3.860498520E1
2.842379047E0,-3.000000119E-1,1.535625076E1,-3.551250076E1,3.869162891E1
2.862380030E0,-3.000000119E-1,1.535625076E1,-3.551250076E1,3.869162891E1
2.882376413E0,-1.875000000E-1,1.545000076E1,-3.562500000E1,3.883140874E1
2.902380652E0,-2.250000089E-1,1.520625019E1,-3.583125305E1,3.892504804E1
2.922379978E0,-3.187500238E-1,1.518750095E1,-3.560625076E1,3.871132754E1
2.942375361E0,-3.937500119E-1,1.526250076E1,-3.560625076E1,3.874150309E1
2.962378756E0,-1.875000000E-1,1.554375076E1,-3.573750305E1,3.897194463E1
2.982377449E0,-7.500000298E-2,1.554375076E1,-3.583125305E1,3.905755379E1
