"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
3.543745404E0,-2.437500060E-1,1.104375076E1,-3.528750229E1,3.697609583E1
3.563748783E0,3.562500179E-1,1.123125076E1,-3.553125000E1,3.726577028E1
3.583747459E0,2.250000089E-1,1.096875000E1,-3.573750305E1,3.738359568E1
3.603752095E0,1.875000075E-2,1.093125057E1,-3.530625153E1,3.695976173E1
3.623752217E0,1.875000075E-2,1.093125057E1,-3.510000229E1,3.676279031E1
3.643748034E0,-1.500000060E-1,1.106250000E1,-3.551250076E1,3.719595565E1
3.663752346E0,1.312500089E-1,1.095000076E1,-3.571875000E1,3.735972223E1
3.683751398E0,1.500000060E-1,1.111875057E1,-3.573750305E1,3.742750644E1
3.703747712E0,1.875000075E-2,1.093125057E1,-3.530625153E1,3.695976173E1
3.723751970E0,1.500000060E-1,1.111875057E1,-3.594375229E1,3.762449259E1
3.743751480E0,-5.625000224E-2,1.098750019E1,-3.530625153E1,3.697647524E1
3.763746738E0,0.000000000E0,1.076250076E1,-3.551250076E1,3.710753472E1
3.783750351E0,1.312500089E-1,1.104375076E1,-3.571875000E1,3.738730746E1
3.803749384E0,1.875000075E-2,1.085625076E1,-3.530625153E1,3.693764921E1
3.823744495E0,-5.625000224E-2,1.098750019E1,-3.519375229E1,3.686907274E1
3.843748052E0,1.500000060E-1,1.119375038E1,-3.573750305E1,3.744985543E1
3.863746871E0,1.875000075E-2,1.093125057E1,-3.530625153E1,3.695976173E1
3.883753020E0,3.562500179E-1,1.123125076E1,-3.562500000E1,3.735516742E1
3.903753717E0,-7.500000298E-2,1.091250038E1,-3.551250076E1,3.715139298E1
3.923750232E0,1.875000075E-2,1.083750057E1,-3.519375229E1,3.682461093E1
3.943754467E0,-7.500000298E-2,1.083750057E1,-3.519375229E1,3.682468254E1
3.963753623E0,1.312500089E-1,1.095000076E1,-3.519375229E1,3.685810553E1
3.983748986E0,3.750000149E-2,1.102500057E1,-3.551250076E1,3.718453649E1
4.003752347E0,5.250000358E-1,1.108125019E1,-3.532500076E1,3.702600991E1
4.023750953E0,3.750000149E-2,1.100625038E1,-3.540000153E1,3.707153978E1
4.043745886E0,5.625000224E-2,1.119375038E1,-3.562500000E1,3.734225270E1
4.063749271E0,5.625000224E-2,1.117500019E1,-3.541875076E1,3.713989363E1
4.083747911E0,1.125000045E-1,1.085625076E1,-3.530625153E1,3.693781577E1
4.103754184E0,-5.625000224E-2,1.108125019E1,-3.562500000E1,3.730868391E1
4.123753112E0,1.312500089E-1,1.102500057E1,-3.519375229E1,3.688045640E1
4.143748901E0,-1.500000060E-1,1.098750019E1,-3.571875000E1,3.737080093E1
4.163752729E0,-1.500000060E-1,1.106250000E1,-3.540000153E1,3.708856312E1
4.183751965E0,1.875000075E-2,1.093125057E1,-3.540000153E1,3.704932791E1
4.203746694E0,2.250000089E-1,1.096875000E1,-3.541875076E1,3.707899685E1
4.223751129E0,3.750000149E-2,1.110000038E1,-3.541875076E1,3.711737222E1
4.243750696E0,-7.500000298E-2,1.091250038E1,-3.519375229E1,3.684682469E1
4.263746278E0,-9.375000000E-2,1.076250076E1,-3.551250076E1,3.710765315E1
4.283750197E0,1.312500089E-1,1.102500057E1,-3.541875076E1,3.709522570E1
4.303749292E0,3.750000149E-2,1.100625038E1,-3.530625153E1,3.698202740E1
4.323744340E0,-5.625000224E-2,1.108125019E1,-3.562500000E1,3.730868391E1
4.343747619E0,-1.500000060E-1,1.098750019E1,-3.560625076E1,3.726328963E1
4.363746415E0,-7.500000298E-2,1.083750057E1,-3.540000153E1,3.702184695E1
4.383752762E0,1.875000075E-2,1.093125057E1,-3.551250076E1,3.715683384E1
4.403753534E0,4.312500060E-1,1.108125019E1,-3.594375229E1,3.761560063E1
4.423749873E0,1.312500089E-1,1.102500057E1,-3.541875076E1,3.709522570E1
4.443754216E0,1.875000075E-2,1.093125057E1,-3.571875000E1,3.735400504E1
4.463753455E0,1.312500089E-1,1.104375076E1,-3.571875000E1,3.738730746E1
4.483748874E0,1.687500030E-1,1.128750038E1,-3.562500000E1,3.737080099E1
4.503752196E0,1.875000075E-2,1.093125057E1,-3.530625153E1,3.695976173E1
4.523750880E0,1.312500089E-1,1.104375076E1,-3.571875000E1,3.738730746E1
4.543745957E0,0.000000000E0,1.078125000E1,-3.560625076E1,3.720269406E1
4.563749227E0,-5.625000224E-2,1.108125019E1,-3.540000153E1,3.709389947E1
